Artikel;Menge;Stückpreis
CNC-Fräsmaschine XF-200;2;48500
Hydraulikaggregat HA-90;4;12800
SPS-Steuerung S7-1500;6;4200
Servomotor SM-400;8;1850
Linearführung LF-35;12;890
Industrie-PC IPC-17;5;1650
Frequenzumrichter FU-22;7;980
Sensorik-Set Proximity;40;125
Pneumatikzylinder PZ-50;25;168
Kugellager 6208-2RS;180;18,50
Dichtungssatz Viton;60;42
Relaisbaustein 24V;90;22
Kabelverschraubung M20;400;3,80
Schlauch DN16;200;6,40
Filterpatrone F-10;80;14,20
Schmierfett EP2;45;18
Schraube M8x30 8.8;5000;0,12
Unterlegscheibe M8;8000;0,04
Kabelbinder 200mm;2000;0,08
Typenschild Alu;150;0,85
