Artikelnr;Artikel;Tag;Woche;Monat;Jahr;WBZ;Preis
100-6208;Kugellager 6208-2RS;2,8;20;86;1040;2;18,50
110-M830;Schraube M8x30 8.8;58;410;1780;21300;1;0,12
120-F10;Filterpatrone F-10;2,2;13;40;380;3;14,20
130-VIT;Dichtungssatz Viton;1,1;8;22;210;2;42,00
140-HA90;Hydraulikaggregat HA-90;0;0;1;4;6;12800
150-S715;SPS-Steuerung S7-1500;0;0,5;1;6;5;4200
160-LF35;Linearführung LF-35;0,7;4,8;21;250;4;890
170-SM400;Servomotor SM-400;0,25;2;6;90;5;1850
180-PROX;Sensorik-Set Proximity;3,6;26;110;1350;2;125
190-M20;Kabelverschraubung M20;11,5;80;350;4200;1;3,80
200-REL24;Relaisbaustein 24V;1,8;13;48;620;2;22,00
210-PZ50;Pneumatikzylinder PZ-50;1;7;30;365;3;168
